_ Vote wisely | Vote wisely #DapatTama | wisely #DapatTama _ => 175
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #election2013 | #PHvote #election2013 _ => 4
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #excited | #PHvote #excited _ => 4
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #GlobeVibes | #PHvote #GlobeVibes _ => 4
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #PhilippineElections2013 | #PHvote #PhilippineElections2013 _ => 4
_ Nancy Binay | Nancy Binay bukas." | Binay bukas." _ => 25
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #smartvote | #PHvote #smartvote _ => 4
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #Vote2013 | #PHvote #Vote2013 _ => 4
_ Nancy Binay | Nancy Binay http://t.co/TW145XAd6s” | Binay http://t.co/TW145XAd6s” _ => 24
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #VoteWisely | #PHvote #VoteWisely _ => 4
_ Nancy Binay | Nancy Binay o_O | Binay o_O _ => 24
_ Nancy Binay | Nancy Binay o_O | Binay o_O _ => 24
_ Nancy Binay | Nancy Binay please! | Binay please! _ => 24
_ Nancy Binay | Nancy Binay po!” | Binay po!” _ => 24
_ Nancy Binay | Nancy Binay po!” | Binay po!” _ => 24
_ #Halalan2013 the | #Halalan2013 the PCOS | the PCOS _ => 5
_ Botohan na | Botohan na =)) | na =)) _ => 23
_ Botohan na | Botohan na ngayon | na ngayon _ => 23
_ #onair #e13hangout | #onair #e13hangout #eleksyon2013 | #e13hangout #eleksyon2013 _ => 4
_ #PHvote #halalan2013 | #PHvote #halalan2013 #boto2013" | #halalan2013 #boto2013" _ => 4
_ di ko | di ko sya | ko sya _ => 24
_ #votePH #votewisely | #votePH #votewisely ?????? | #votewisely ?????? _ => 4
_ #votesmart _ | #votesmart _ Vote | _ Vote _ => 16
_ #VoteSMART #Pagbabago2013 | #VoteSMART #Pagbabago2013 #Halalan2013 | #Pagbabago2013 #Halalan2013 _ => 5
_ #VoteSMART #Pagbabago2013 | #VoteSMART #Pagbabago2013 http://t.co/06ETzHEvwl | #Pagbabago2013 http://t.co/06ETzHEvwl _ => 4
_ #VoteSMART #Pagbabago2013 | #VoteSMART #Pagbabago2013 http://t.co/bWIksjHVaC | #Pagbabago2013 http://t.co/bWIksjHVaC _ => 4
_ #VoteWisely #election2013 | #VoteWisely #election2013 #donotvoteforBINAY | #election2013 #donotvoteforBINAY _ => 4
_ Risa Hontiveros | Risa Hontiveros #Halalan2013 | Hontiveros #Halalan2013 _ => 24
_ Risa Hontiveros | Risa Hontiveros FTW! | Hontiveros FTW! _ => 22
_ 05.13.13 - | 05.13.13 - Monday | - Monday _ => 4
_ 11:11 clean | 11:11 clean election | clean election _ => 4
_ 11:11 MAPAYAPANG | 11:11 MAPAYAPANG ELECTION | MAPAYAPANG ELECTION _ => 4
_ 2013 Election. | 2013 Election. :| | Election. :| _ => 4
_ 2013 Election. | 2013 Election. Anyare?! | Election. Anyare?! _ => 4
_ 2016 pa | 2016 pa ako | pa ako _ => 4
_ Boboto na | Boboto na ako! | na ako! _ => 24
_ Boboto na | Boboto na lang | na lang _ => 23
_ Boboto na | Boboto na akoooo. | na akoooo. _ => 21
_ Boboto na | Boboto na mee! | na mee! _ => 21
_ Boboto na | Boboto na siya | na siya _ => 21
_ 7am to | 7am to vote, | to vote, _ => 4
_ Tapos na | Tapos na election | na election _ => 25
_ Tapos na | Tapos na kasi | na kasi _ => 21
_ Election day! | Election day! :3 | day! :3 _ => 20
_ Election day! | Election day! ? | day! ? _ => 20
_ Election na | Election na ! | na ! _ => 21
_ Election na | Election na :D | na :D _ => 21
_ Election na | Election na bukas.. | na bukas.. _ => 20
_ Election na | Election na siguro. | na siguro. _ => 20
_ Yung mga | Yung mga kandidatong | mga kandidatong _ => 22
_ Eleksyon na | Eleksyon na naman. | na naman. _ => 23
_ Eleksyon na | Eleksyon na e | na e _ => 19
_ "My vote | "My vote counts. | vote counts. _ => 3
_ Ready to | Ready to vote! | to vote! _ => 36
_ Ready to | Ready to vote? | to vote? _ => 21
_ Dapat tama! | Dapat tama! :) | tama! :) _ => 18
_ Dapat tama! | Dapat tama! :) | tama! :) _ => 18
_ Just voted | Just voted ? | voted ? _ => 18
_ Malapit na | Malapit na election | na election _ => 24
_ Malapit na | Malapit na eleksyon. | na eleksyon. _ => 19
_ Malapit na | Malapit na eleksyon. | na eleksyon. _ => 18
_ Malapit na | Malapit na naman | na naman _ => 18
_ Vote buying | Vote buying yan. | buying yan. _ => 19
_ Vote buying | Vote buying ! | buying ! _ => 18
_ Vote buying | Vote buying @joybabe09 | buying @joybabe09 _ => 18
_ "Ready to | "Ready to vote | to vote _ => 15
_ "Responsible citizen | "Responsible citizen :) | citizen :) _ => 3
_ Vote vote | Vote vote vote. | vote vote. _ => 19
_ Vote wisely!! | Vote wisely!! :) | wisely!! :) _ => 20
_ Vote wisely!! | Vote wisely!! #dapattama | wisely!! #dapattama _ => 18
_ Vote wisely!! | Vote wisely!! #Eleksyon2013 | wisely!! #Eleksyon2013 _ => 18
_ Vote wisely!! | Vote wisely!! :-) | wisely!! :-) _ => 18
_ As of | As of 8:04pm | of 8:04pm _ => 17
_ Di ako | Di ako boto | ako boto _ => 17
_ Di ako | Di ako makakaboto! | ako makakaboto! _ => 17
_ Let us | Let us all | us all _ => 21
_ "This is | "This is it | is it _ => 3
_ Vote Wisely | Vote Wisely #halalan2013 | Wisely #halalan2013 _ => 23
_ "TOP 10 | "TOP 10 Senatorial | 10 Senatorial _ => 3
_ Vote Wisely | Vote Wisely :)))) | Wisely :)))) _ => 19
_ Vote Wisely | Vote Wisely ? | Wisely ? _ => 19
_ "Very good | "Very good ah! | good ah! _ => 3
_ Vote Wisely | Vote Wisely :D | Wisely :D _ => 18
_ Vote Wisely | Vote Wisely ^_^ | Wisely ^_^ _ => 17
_ Vote Wisely | Vote Wisely everyone. | Wisely everyone. _ => 17
_ "VOTE!!! 1-AALALAY | "VOTE!!! 1-AALALAY PARTYLIST | 1-AALALAY PARTYLIST _ => 3
_ Vote Wisely | Vote Wisely guys^^ | Wisely guys^^ _ => 17
_ Vote Wisely | Vote Wisely hays | Wisely hays _ => 17
_ Vote Wisely | Vote Wisely http://t.co/HKlz00uOIk | Wisely http://t.co/HKlz00uOIk _ => 17
_ Vote Wisely | Vote Wisely tomorrow. | Wisely tomorrow. _ => 17
_ Vote Wisely | Vote Wisely ~ | Wisely ~ _ => 17
_ "Watcher: Boboto | "Watcher: Boboto kana? | Boboto kana? _ => 3
_ #halalan2013" _ | #halalan2013" _ iVote | _ iVote _ => 17
_ Casted my | Casted my vote | my vote _ => 26
_ Casted my | Casted my vote! | my vote! _ => 20
_ Casted my | Casted my vote... | my vote... _ => 20
_ Vote wisely. | Vote wisely. :) | wisely. :) _ => 34
_ Vote wisely. | Vote wisely. #Halalan2013 | wisely. #Halalan2013 _ => 20
_ Vote wisely. | Vote wisely. #dapattama | wisely. #dapattama _ => 18
_ Vote wisely. | Vote wisely. #Halalan2013 | wisely. #Halalan2013 _ => 18
_ Vote wisely. | Vote wisely. #Halalan2013" | wisely. #Halalan2013" _ => 16
_ Vote wisely. | Vote wisely. #integrity | wisely. #integrity _ => 16
_ Vote wisely. | Vote wisely. :)) | wisely. :)) _ => 16
_ Vote wisely. | Vote wisely. :)))) | wisely. :)))) _ => 16
_ Vote wisely. | Vote wisely. :-) | wisely. :-) _ => 18
_ Vote wisely. | Vote wisely. :D | wisely. :D _ => 16
_ Vote wisely. | Vote wisely. ;) | wisely. ;) _ => 16
_ Vote wisely. | Vote wisely. ? | wisely. ? _ => 17
_ Vote wisely. | Vote wisely. Lul. | wisely. Lul. _ => 16
_ #halalan2013 _ | #halalan2013 _ Vote | _ Vote _ => 69
_ #1 Grace | #1 Grace Poe | Grace Poe _ => 6
_ #2013election _ | #2013election _ Vote | _ Vote _ => 14
_ #2013election _ | #2013election _ Voted! | _ Voted! _ => 4
_ #72 sa | #72 sa balota. | sa balota. _ => 5
_ #halalan2013 _ | #halalan2013 _ Voted! | _ Voted! _ => 17
_ #AskyonTV @News5AKSYON | #AskyonTV @News5AKSYON http://t.co/iXf4juFOVo" | @News5AKSYON http://t.co/iXf4juFOVo" _ => 3
_ #halalan2013 _ | #halalan2013 _ "Gooodmornin' | _ "Gooodmornin' _ => 15
_ #bakit #election2013 | #bakit #election2013 #phvoteresults" | #election2013 #phvoteresults" _ => 3
_ #halalan2013 _ | #halalan2013 _ #election2013 | _ #election2013 _ => 17
_ #bantayboto #halalan2013 | #bantayboto #halalan2013 #abscbn | #halalan2013 #abscbn _ => 3
_ #bmpm #votewisely | #bmpm #votewisely #halalan2013 | #votewisely #halalan2013 _ => 8
_ #dapattama #election2013 | #dapattama #election2013 http://t.co/dFmOuFNV6d | #election2013 http://t.co/dFmOuFNV6d _ => 3
_ #DapatTama #Halalan2013 | #DapatTama #Halalan2013 #eleksyon2013 | #Halalan2013 #eleksyon2013 _ => 45
_ #DapatTama #Halalan2013 | #DapatTama #Halalan2013 #votewisely | #Halalan2013 #votewisely _ => 11
_ #DapatTama #Halalan2013 | #DapatTama #Halalan2013 ?? | #Halalan2013 ?? _ => 5
_ #DapatTama #Halalan2013 | #DapatTama #Halalan2013 http://t.co/kijAnOQdrL | #Halalan2013 http://t.co/kijAnOQdrL _ => 3
_ #DapatTama #TayoNa | #DapatTama #TayoNa #BotoNa | #TayoNa #BotoNa _ => 3
_ #halalan2013 _ | #halalan2013 _ Halalan2013 | _ Halalan2013 _ => 15
_ #dirtyfinger #vote | #dirtyfinger #vote #Halalan2013 | #vote #Halalan2013 _ => 3
_ #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES | #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES | #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES _ => 16
_ #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES | #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES | #DREAMERSMUSTUSEALL50VOTES #DREAMERSMUSTUSEALL50VOTES _ => 16
_ #DyanEusebioForMayor #DyanEusebioForMayor | #DyanEusebioForMayor #DyanEusebioForMayor #DyanEusebioForMayor | #DyanEusebioForMayor #DyanEusebioForMayor _ => 5
_ #DyanEusebioForMayor #DyanEusebioForMayor | #DyanEusebioForMayor #DyanEusebioForMayor #DyanEusebioForMayor | #DyanEusebioForMayor #DyanEusebioForMayor _ => 3
_ #E13 #Halalan2013 | #E13 #Halalan2013 http://t.co/7Wp3gJ2Jp5 | #Halalan2013 http://t.co/7Wp3gJ2Jp5 _ => 3
_ #halalan2013 _ | #halalan2013 _ Voted. | _ Voted. _ => 15
_ #election2013 #halalan2013 | #election2013 #halalan2013 #notprepared | #halalan2013 #notprepared _ => 3
_ Halalan 2013 | Halalan 2013 :) | 2013 :) _ => 16
_ #election2013 #halalan2013 | #election2013 #halalan2013 #philippines | #halalan2013 #philippines _ => 4
_ #election2013 #halalan2013 | #election2013 #halalan2013 #phvoteresults | #halalan2013 #phvoteresults _ => 5
_ #election2013 #halalan2013 | #election2013 #halalan2013 #votes | #halalan2013 #votes _ => 3
_ #election2013 #halalan2013 | #election2013 #halalan2013 @innamosities | #halalan2013 @innamosities _ => 3
_ Halalan 2013 | Halalan 2013 http://t.co/uEEicPXMLZ" | 2013 http://t.co/uEEicPXMLZ" _ => 15
_ Halalan 2013 | Halalan 2013 http://t.co/wcbMOQme2L | 2013 http://t.co/wcbMOQme2L _ => 15
_ Halalan 2013 | Halalan 2013 na! | 2013 na! _ => 15
_ #election2013 #VoteWisely | #election2013 #VoteWisely #Voteastraight | #VoteWisely #Voteastraight _ => 3
_ I vote | I vote for | vote for _ => 34
_ I vote | I vote her:) | vote her:) _ => 15
_ #election2013 go | #election2013 go pilipinas! | go pilipinas! _ => 3
_ Nakaboto na | Nakaboto na ako. | na ako. _ => 17
_ Nakaboto na | Nakaboto na ako! | na ako! _ => 15
_ #election2013 on | #election2013 on monday | on monday _ => 3
_ Nakaboto na | Nakaboto na e | na e _ => 15
_ Nakaboto na | Nakaboto na naman. | na naman. _ => 15
_ #Election2013 Vote | #Election2013 Vote Wisely | Vote Wisely _ => 25
_ #Election2013 Vote | #Election2013 Vote wisely. | Vote wisely. _ => 41
_ #election2013philippines #comelec… | #election2013philippines #comelec… http://t.co/WIoZQCWr36" | #comelec… http://t.co/WIoZQCWr36" _ => 3
_ #election2013philippines #may2013… | #election2013philippines #may2013… http://t.co/5sqdJhZ0tK" | #may2013… http://t.co/5sqdJhZ0tK" _ => 3
_ A _ | A _ Vote | _ Vote _ => 36
_ #ElectionDay tomorrow | #ElectionDay tomorrow :-) | tomorrow :-) _ => 3
_ #elections2013 #Eleksyon2013 | #elections2013 #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 _ => 49
_ #eleksyon 2013 | #eleksyon 2013 #votenow | 2013 #votenow _ => 3
_ #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama #Saksi | #DapatTama #Saksi _ => 47
_ #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama #0shoutOUTFF | #DapatTama #0shoutOUTFF _ => 5
_ #Eleksyon2013 #DapatTama | #Eleksyon2013 #DapatTama #Saksi | #DapatTama #Saksi _ => 25
_ Iboboto ko | Iboboto ko yan! | ko yan! _ => 14
_ on my | on my list. | my list. _ => 20
